pct_wild_mouse,screen_height,pct_input,pct_scrandom,pct_scroll_move,pct_click_product_info,wild_mouse_duration,total_load_time,pct_click,screen_width,pct_doubleclick,product_ean,pct_mouse_move,user_id,session_id,pct_scroll_move_duration,scroll_move_total_rel_distance,page_activity_duration,mouse_move_total_rel_distance,browser_name,pct_rage_click,session_duration,pct_mouse_click,job,race,age
59.56562,2,0.05917,48.05874,39.37553,66.21904,13.32802,5.93412,19.29164,2,15.56429,1048761655267,17.60833,183,973113,12.99052,21.28298,18.00126,15.52013,6,41.19641,106.97645,16.06948,3,1,60
57.12588,5,0.6261,27.98295,41.97408,58.58313,15.04745,4.19728,12.80114,1,17.21093,513098827973,20.04994,1253,536713,16.35219,18.49826,17.48769,13.88568,4,40.01657,135.12413,18.11505,3,1,60
36.23258,5,0.87819,44.02044,46.59896,34.35303,15.3585,2.70523,17.26037,5,15.45053,7376717463630,17.60074,1802,1027409,16.91375,13.42086,14.73291,16.61463,4,53.41472,92.40541,12.9146,3,1,60
58.97383,6,0.81044,30.68743,48.43406,23.69275,15.28388,0.58036,17.37618,2,14.25238,6163711740901,15.1842,717,473423,19.1923,9.02703,16.93843,18.35554,5,33.63685,105.0947,12.93503,3,1,60
57.85999,5,2.63628,68.71277,71.42763,60.38453,16.41097,3.62692,17.62559,1,14.73235,3307933101239,19.10296,2298,1420722,15.65172,15.85784,16.09055,17.97986,5,60.64751,183.27447,13.37094,285,4,97
62.66897,4,5.63087,45.91214,28.77162,48.60381,17.15699,1.91568,16.77791,1,14.33646,3929720867038,20.02151,1427,281598,15.21686,15.0101,16.70424,16.69015,5,68.43174,78.83625,12.74074,3,1,60
39.40767,4,6.24588,59.90068,40.36881,54.04467,17.25958,3.31252,15.55687,5,12.8974,507042675451,14.95701,1328,120742,17.88587,4.71234,15.34013,13.60865,7,48.7477,131.43568,11.16518,3,1,101
56.3788,2,1.75571,42.46705,42.41491,47.6225,16.01639,2.87644,18.29193,3,16.7361,8929467738870,21.17675,1944,155567,17.42778,18.11447,14.25138,16.95658,5,32.39816,85.82582,13.49944,3,1,60
43.85559,2,2.98717,74.2523,33.08395,47.00787,16.5331,6.8984,16.62635,5,14.84015,5760417422561,17.07507,3,1155482,20.97025,9.78523,14.962,16.81293,7,56.93836,159.47843,14.26139,87,1,14
41.88101,2,1.92717,41.2597,23.96776,62.52429,16.27674,8.71559,17.52573,2,16.39786,8930746460375,15.44016,376,879532,17.42744,12.32853,16.343,18.77111,2,35.91925,82.2714,12.2186,3,1,60
43.09126,3,1.21121,16.515,37.73785,49.71033,15.66089,3.18139,17.1711,3,15.59083,1748027869253,17.82503,274,628050,18.62418,11.53034,16.31171,17.71503,4,34.12157,145.06511,12.04033,204,1,60
49.46492,2,1.51653,47.51373,61.40162,42.68507,15.8756,3.40524,18.15516,6,15.23891,4212264492927,17.18831,2389,436966,13.44684,19.33771,16.34158,15.58546,5,49.82781,124.77393,15.95509,3,1,60
43.6985,1,2.30306,26.99271,60.11635,32.42493,16.2793,2.67715,17.84853,4,14.98572,5460319839558,13.84536,1889,416847,14.69246,14.95433,16.47393,17.54016,4,53.64705,81.30595,15.05282,3,1,60
53.5759,4,1.83435,61.72448,51.74195,52.83456,16.05861,8.60794,19.19953,5,15.38985,9836975274693,14.52192,1605,294145,14.88443,15.54686,17.73972,18.75276,1,64.03638,55.33746,13.65639,3,1,60
66.29242,5,10.74734,48.85667,50.90285,32.72437,17.79797,0.52201,15.56417,1,13.27798,8406105876267,19.82512,1529,1274207,22.13584,7.55497,15.38019,16.47765,1,42.37654,165.09546,13.45653,3,1,6
29.19635,1,3.73685,38.98676,53.16874,41.4039,16.75278,3.45124,17.72995,5,16.3914,484132616184,18.72499,1408,1047486,14.20762,19.66108,15.8114,17.47183,2,59.26812,124.64036,14.64271,3,1,60
44.12777,1,2.18284,48.7105,38.72845,39.0067,16.22716,0.84199,15.6449,4,13.8728,5150951516404,18.47189,450,363320,17.97704,10.07578,16.16614,16.49176,7,36.22737,125.02218,12.62347,3,1,60
49.65455,7,2.6285,65.32431,48.76752,52.60402,16.40805,4.01759,13.97243,3,15.03208,5930242527698,19.29853,2238,1373354,16.2456,13.54423,15.56112,13.65103,3,70.53188,74.71941,14.75663,289,4,38
44.56997,6,2.64635,61.85936,48.60292,60.92518,16.41469,3.55659,18.47126,4,15.59612,9424334050172,17.21982,771,207529,15.04746,17.5967,16.19418,18.45063,4,66.40071,193.01559,14.38504,3,1,10
47.93162,5,7.27019,56.72442,55.76501,48.30286,17.40999,1.62875,17.02635,3,14.94053,7460929559493,15.37888,126,1015434,13.66692,16.89394,15.30528,15.75789,2,60.81374,159.32852,16.06467,3,1,60
56.39439,5,1.18476,50.46069,33.65512,55.67817,15.63992,5.56074,19.49446,2,15.90543,7207750042813,15.14762,1585,378387,14.6523,16.92494,17.21195,18.65148,1,50.81167,180.01586,13.69767,3,1,60
42.43284,1,0.79411,44.23553,41.88946,56.55482,15.26515,1.26758,17.49548,1,13.76534,5405517974144,12.92563,963,867081,14.11848,13.3198,15.92016,18.43728,5,69.08656,157.46783,14.81832,324,3,20
58.85309,1,0.39317,32.82818,52.14485,39.05549,14.63612,1.61129,16.88392,1,14.46299,8510485737343,17.66605,856,1436265,20.06562,9.97591,16.79503,16.79225,5,57.886,98.47863,13.39408,40,1,60
56.41662,1,1.12929,59.88064,56.77781,35.91487,15.59466,3.69082,16.9997,3,13.94339,3062276128748,14.15682,2201,981065,14.56924,13.67272,16.56447,17.70971,1,38.68093,223.30805,15.04897,3,1,60
55.63542,5,0.86384,50.40574,55.25759,41.64496,15.3432,10.94531,18.29424,3,14.70814,5418005078408,16.43349,1800,1149611,18.72524,11.62554,16.27005,16.88719,5,53.18626,81.76001,13.43931,3,1,50
54.64523,1,0.70696,33.4831,44.382,32.50283,15.1582,9.32066,16.94791,4,12.44291,2660107028956,16.94424,1131,592233,14.51714,13.93393,15.55986,18.71793,5,55.52747,165.72939,14.5873,137,4,60
55.52765,2,1.12422,35.47354,26.93504,46.70112,15.59036,1.07657,20.24707,3,16.15362,8154702153075,16.16967,1625,1468764,13.93603,19.99551,14.6013,16.47942,5,68.56441,190.08892,15.11238,3,1,60
46.73104,1,0.32818,48.92576,54.0778,66.91619,14.48352,1.4869,14.12119,5,15.63094,9899255094619,17.47811,611,68832,18.5214,11.2797,16.44862,14.88855,2,35.62197,94.94504,14.82281,3,1,60
47.43531,2,5.74365,65.41026,35.78963,56.54858,17.17663,1.16507,14.9426,6,13.08248,9526540726299,17.15059,2023,1282042,17.1184,9.15497,16.65382,13.14391,4,62.48494,22.67967,13.87091,3,1,60
40.62655,5,3.28804,55.26499,58.76079,36.37914,16.6271,8.47818,15.92075,1,11.16679,5403082590547,16.94498,1861,1330382,17.68105,7.18727,16.26391,13.30968,4,65.88184,214.87448,13.62853,3,4,50
50.05277,3,1.87008,27.87264,53.46209,61.31384,16.07731,10.64858,20.36909,2,14.06516,3337800867548,14.49938,368,688158,12.57747,18.67287,15.95039,18.33329,1,55.27961,202.63187,15.34898,86,1,32
53.51526,1,3.88669,50.32247,17.05258,69.15519,16.79137,8.49157,17.31352,2,14.40641,9221131584875,16.89633,907,95774,20.48967,11.16491,15.65654,18.47232,2,60.4902,65.45613,14.95772,7,4,60
54.25299,4,0.22185,60.97578,47.4205,32.1488,14.16722,4.99687,18.91989,6,15.19036,3207149648439,19.00156,1234,299156,16.04815,18.10176,16.57749,19.25659,6,62.14838,184.20649,14.4195,274,2,60
34.96417,7,2.76389,36.91155,57.55806,38.96593,16.45714,1.77348,18.38852,1,15.81336,2137852639725,15.55747,676,680033,14.48765,17.19136,16.1445,16.76198,4,51.91818,182.3668,14.85707,3,1,103
55.7676,1,15.72355,50.75604,48.04655,72.20904,18.17661,0.54995,18.57554,4,14.91366,5633577464729,18.22092,838,555808,17.30275,17.16249,16.60674,16.62798,6,54.39496,66.78872,16.23264,3,1,59
50.16742,7,1.69648,35.77744,42.38877,43.20327,15.98328,4.75224,13.05034,6,14.38678,6737411489943,20.72281,1129,547183,17.99427,13.16743,17.32515,14.66889,1,35.24366,247.04833,16.06498,3,1,21
55.92254,4,3.51454,43.21584,36.09577,56.58088,16.6925,4.74605,17.668,7,16.62301,4777928026943,17.01505,1595,1427443,14.96201,17.86387,14.31564,15.72315,4,58.52387,117.63645,14.87727,3,1,7
